# syn_v_soft_axioms.txt — Tier B soft biconditional axiom candidates
# Generated by pick_canonicals_v.py --emit
# Sources: UNSAFE cluster (canonical,member) pairs from syn_v_10.txt
#          + syn_v_soft_pairs.txt (harvested sub-canonical pairs)
# Format: word_a,word_b,score
#
give,yield,0.90
have,own,0.90
have_a_look,take_a_look,0.90
hit,shoot,0.90
hold,deem,0.90
hold,entertain,0.90
hurt,wound,0.90
influence,determine,0.90
influence,regulate,0.90
influence,shape,0.90
leave,exit,0.90
lie,dwell,0.90
load,laden,0.90
long,yearn,0.90
look,face,0.90
make,attain,0.90
make,construct,0.90
make,fix,0.90
make,ready,0.90
mar,impair,0.90
motion,gesture,0.90
mount,climb,0.90
move,act,0.90
move,strike,0.90
name,list,0.90
name,refer,0.90
nose,poke,0.90
notice,comment,0.90
notice,remark,0.90
number,enumerate,0.90
off,hit,0.90
offer,bid,0.90
orbit,orb,0.90
order,regularize,0.90
pale,blench,0.90
pat,chuck,0.90
place,lay,0.90
place,locate,0.90
plan,contrive,0.90
plan,design,0.90
play,flirt,0.90
play,toy,0.90
point,indicate,0.90
point,steer,0.90
powder,pulverise,0.90
powder,pulverize,0.90
present,acquaint,0.90
present,introduce,0.90
pride,congratulate,0.90
pull,commit,0.90
purpose,purport,0.90
question,interview,0.90
rain,rain_down,0.90
raise,enhance,0.90
raise,nurture,0.90
rape,dishonor,0.90
rape,dishonour,0.90
rape,outrage,0.90
rape,ravish,0.90
reach,strive,0.90
reflect,shine,0.90
repeat,echo,0.90
restrict,curb,0.90
resume,restart,0.90
retreat,retire,0.90
retreat,withdraw,0.90
revolt,disgust,0.90
rise,arise,0.90
rule,prevail,0.90
say,aver,0.90
say,enunciate,0.90
see,encounter,0.90
see,image,0.90
see,meet,0.90
serve,function,0.90
service,serve,0.90
set,adjust,0.90
set,prepare,0.90
shoot,dart,0.90
shoot,flash,0.90
shoot,scoot,0.90
shoot,snap,0.90
show,evince,0.90
sick,retch,0.90
sick,upchuck,0.90
sign,signalize,0.90
sin,trespass,0.90
slow,retard,0.90
smile,grin,0.90
sole,resole,0.90
spin,reel,0.90
spring,recoil,0.90
stop,block,0.90
sum,summarise,0.90
support,affirm,0.90
support,confirm,0.90
support,corroborate,0.90
support,defend,0.90
take,aim,0.90
take,direct,0.90
take,remove,0.90
take,shoot,0.90
take_off,take_time_off,0.90
talk,lecture,0.90
talk,verbalize,0.90
tell,differentiate,0.90
tip,angle,0.90
trap,immobilise,0.90
trouble,disquiet,0.90
turn,grow,0.90
twist,squirm,0.90
twist,wriggle,0.90
twist,writhe,0.90
value,appraise,0.90
value,appreciate,0.90
value,esteem,0.90
value,measure,0.90
value,respect,0.90
weight,burthen,0.90
white,whiten,0.90
work,solve,0.90
action,accomplish,0.89
action,execute,0.89
admit,confess,0.89
allow,earmark,0.89
baby,cocker,0.89
baby,coddle,0.89
baby,cosset,0.89
baby,mollycoddle,0.89
back,punt,0.89
balance,equilibrate,0.89
bank,trust,0.89
be,exist,0.89
best,outdo,0.89
bitch,grouse,0.89
boom,blast,0.89
boom,smash,0.89
bother,nark,0.89
break,violate,0.89
busy,occupy,0.89
call,anticipate,0.89
call,ring,0.89
candy,glaze,0.89
care,manage,0.89
carry,impart,0.89
catch,beguile,0.89
catch,captivate,0.89
center,focus,0.89
chance_on,chance_upon,0.89
change,exchange,0.89
check,break,0.89
check,tally,0.89
cheer,embolden,0.89
cluster,constellate,0.89
con,defraud,0.89
con,mulct,0.89
cover,track,0.89
cut,curve,0.89
cut,swerve,0.89
cycle,pedal,0.89
cycle,wheel,0.89
damn,curse,0.89
deal,contend,0.89
deal,manage,0.89
disable,disenable,0.89
dismay,deject,0.89
dismay,demoralize,0.89
dismay,dispirit,0.89
district,zone,0.89
divorce,disunite,0.89
dog,chase,0.89
dog,tag,0.89
dog,trail,0.89
down,kill,0.89
draw,depict,0.89
dress,enclothe,0.89
drop,shed,0.89
embrace,squeeze,0.89
end,cease,0.89
end,terminate,0.89
enter,introduce,0.89
even,even_out,0.89
expand,elaborate,0.89
expand,expatiate,0.89
fall,diminish,0.89
fall,lessen,0.89
figure,compute,0.89
figure,reckon,0.89
find,notice,0.89
fit,outfit,0.89
follow,espouse,0.89
force,draw,0.89
found,establish,0.89
free,disembarrass,0.89
free,rid,0.89
further,boost,0.89
further,encourage,0.89
further,promote,0.89
get,commence,0.89
gift,endue,0.89
give,commit,0.89
give,consecrate,0.89
give,hand,0.89
go,die,0.89
go,endure,0.89
go,live,0.89
go,pass,0.89
go,work,0.89
grace,adorn,0.89
grace,beautify,0.89
guard,ward,0.89
guess,estimate,0.89
guess,judge,0.89
ham,overact,0.89
handle,treat,0.89
have,bear,0.89
have,deliver,0.89
have,feature,0.89
have,receive,0.89
hit,score,0.89
hook,glom,0.89
hook,snitch,0.89
keep,observe,0.89
kick_about,knock_about,0.89
kid,jolly,0.89
kid,josh,0.89
kiss,buss,0.89
know,eff,0.89
lay_into,tear_into,0.89
license,certify,0.89
light,illume,0.89
load,lade,0.89
long,hanker,0.89
look,front,0.89
make,cook,0.89
make,gain,0.89
make,hit,0.89
manage,negociate,0.89
mar,spoil,0.89
mar,vitiate,0.89
match,rival,0.89
matter,count,0.89
matter,weigh,0.89
motion,gesticulate,0.89
move,actuate,0.89
move,affect,0.89
move,incite,0.89
move,motivate,0.89
name,describe,0.89
name,distinguish,0.89
narrow,narrow_down,0.89
noise,resound,0.89
off,remove,0.89
orbit,revolve,0.89
order,govern,0.89
order,regularise,0.89
order,regulate,0.89
overcome,whelm,0.89
pack,jam,0.89
pack,pile,0.89
pad,embellish,0.89
pitch,slant,0.89
pitch,tilt,0.89
place,aim,0.89
place,point,0.89
place,site,0.89
point,head,0.89
pound,ram,0.89
present,deliver,0.89
present,pose,0.89
press_down_on,bear_down_on,0.89
process,action,0.89
progress,get_on_with,0.89
protect,safeguard,0.89
puff,gasp,0.89
puff,heave,0.89
puff,pant,0.89
pull,extract,0.89
pull,perpetrate,0.89
pull,rend,0.89
purpose,propose,0.89
put,couch,0.89
put,redact,0.89
qualify,characterise,0.89
qualify,characterize,0.89
quiet,quiesce,0.89
raise,advance,0.89
rely_on,rely_upon,0.89
research,explore,0.89
right,rectify,0.89
right,redress,0.89
rise,lift,0.89
room,board,0.89
rubber,rubberize,0.89
run,hunt,0.89
run,lean,0.89
run,tend,0.89
say,articulate,0.89
scratch,chafe,0.89
see,experience,0.89
see,regard,0.89
send,ship,0.89
serve,dish,0.89
set,ready,0.89
shop,patronise,0.89
shut_away,lock_away,0.89
sick,cat,0.89
sign,signal,0.89
sit,ride,0.89
slow,slow_up,0.89
smile,smirk,0.89
smooth,polish,0.89
smooth,shine,0.89
speed,hurry,0.89
sponsor,patronize,0.89
stand,stand_up,0.89
stick,bind,0.89
still,quiet,0.89
stop,barricade,0.89
stop,blockade,0.89
sum,summarize,0.89
support,stand,0.89
surface,coat,0.89
take,conduct,0.89
take,convey,0.89
take,select,0.89
tell,tell_apart,0.89
tip,bung,0.89
tip,slant,0.89
tip,tilt,0.89
tire,fatigue,0.89
tire,weary,0.89
touch,touch_on,0.89
trap,pin,0.89
tree,corner,0.89
trouble,disorder,0.89
trouble,distract,0.89
try,taste,0.89
turn_a_nice_dollar,turn_a_nice_penny,0.89
twitter,chitter,0.89
value,assess,0.89
value,evaluate,0.89
value,prize,0.89
value,treasure,0.89
visit,chat,0.89
wake,arouse,0.89
wall,surround,0.89
warn,forewarn,0.89
wear,don,0.89
wheel,wheel_around,0.89
wind,weave,0.89
wonder,enquire,0.89
wonder,inquire,0.89
work,influence,0.89
action,fulfil,0.88
action,fulfill,0.88
affect,dissemble,0.88
affect,feign,0.88
affect,pretend,0.88
agree,harmonise,0.88
agree,harmonize,0.88
air,beam,0.88
allow,reserve,0.88
arm,gird,0.88
associate,assort,0.88
associate,consort,0.88
avoid,annul,0.88
avoid,void,0.88
baby,featherbed,0.88
baby,spoil,0.88
back,game,0.88
background,downplay,0.88
balance,equilibrize,0.88
bash,bonk,0.88
bash,bop,0.88
bash,whap,0.88
bash,whop,0.88
be,equal,0.88
belly,belly_out,0.88
best,outflank,0.88
best,scoop,0.88
best,trump,0.88
better,break,0.88
better,meliorate,0.88
bill,charge,0.88
bitch,beef,0.88
bitch,crab,0.88
black,nigrify,0.88
blow,float,0.88
boost,hike,0.88
border,frame,0.88
break,infract,0.88
break,offend,0.88
breathe,take_a_breath,0.88
call,call_up,0.88
call,foretell,0.88
call,hollo,0.88
call,prognosticate,0.88
call,promise,0.88
care,deal,0.88
care,handle,0.88
catch,bewitch,0.88
catch,enamor,0.88
catch,enamour,0.88
catch,fascinate,0.88
center,center_on,0.88
center,revolve_around,0.88
center,rivet,0.88
chance,adventure,0.88
chance,hazard,0.88
chance,take_a_chance,0.88
chance,take_chances,0.88
change,interchange,0.88
check,agree,0.88
check,check_into,0.88
check,check_out,0.88
check,check_over,0.88
check,correspond,0.88
check,crack,0.88
check,fit,0.88
check,match,0.88
cheer,recreate,0.88
class,classify,0.88
class,sort,0.88
clear,pass,0.88
closure,cloture,0.88
clutch,prehend,0.88
clutch,seize,0.88
color,color_in,0.88
color,colour_in,0.88
comfort,console,0.88
company,keep_company,0.88
con,diddle,0.88
con,hornswoggle,0.88
con,nobble,0.88
con,victimize,0.88
condition,qualify,0.88
condition,specify,0.88
condition,stipulate,0.88
couple,mate,0.88
cover,comprehend,0.88
cover,cross,0.88
cover,embrace,0.88
cross,foil,0.88
cross,scotch,0.88
cross,thwart,0.88
cut,ignore,0.88
cut,sheer,0.88
cut,slew,0.88
cut,veer,0.88
deliver,rescue,0.88
dirty,soil,0.88
dismay,demoralise,0.88
dismay,depress,0.88
divorce,disassociate,0.88
divorce,dissociate,0.88
do,exercise,0.88
do,practise,0.88
doctor,mend,0.88
doctor,touch_on,0.88
drag_on,drag_out,0.88
draw,describe,0.88
draw,string,0.88
dream,stargaze,0.88
dress,habilitate,0.88
drop,drop_down,0.88
drop,throw_away,0.88
entertain,amuse,0.88
even,level,0.88
exchange,replace,0.88
exchange,switch,0.88
expand,exposit,0.88
factor,factor_in,0.88
factor,factor_out,0.88
fake,bull,0.88
fat,fatten_out,0.88
fat,fatten_up,0.88
favor,privilege,0.88
fit,equip,0.88
floor,ball_over,0.88
fold,fold_up,0.88
follow,trace,0.88
forge,excogitate,0.88
fort,fort_up,0.88
fuck_off,jack_off,0.88
further,foster,0.88
get,beget,0.88
get,engender,0.88
gift,indue,0.88
gift,invest,0.88
give_a_hang,care_a_hang,0.88
go,conk,0.88
go,exit,0.88
go,expire,0.88
go,operate,0.88
go,perish,0.88
go,survive,0.88
grace,embellish,0.88
grace,ornament,0.88
grave,sculpture,0.88
guess,approximate,0.88
guess,gauge,0.88
handle,palm,0.88
hang_by_a_hair,hang_by_a_thread,0.88
heat,heat_up,0.88
hit,pip,0.88
hit,tally,0.88
hold,agree,0.88
hold,harbor,0.88
hook,thieve,0.88
impact,touch,0.88
inter,entomb,0.88
intimate,insinuate,0.88
keep,proceed,0.88
kick,complain,0.88
kick,quetch,0.88
knock,criticise,0.88
knock,criticize,0.88
know,bonk,0.88
know,hump,0.88
know,screw,0.88
know,sleep_with,0.88
lead,moderate,0.88
lie,consist,0.88
light,light_up,0.88
link,tie,0.88
load,load_up,0.88
lord_it_over,queen_it_over,0.88
make,defecate,0.88
make,micturate,0.88
make,piddle,0.88
make,piss,0.88
make,shit,0.88
make,urinate,0.88
make,wee,0.88
mar,deflower,0.88
match,equal,0.88
match,pit,0.88
match,touch,0.88
mouse,pussyfoot,0.88
move,impress,0.88
move,prompt,0.88
nail,ace,0.88
name,advert,0.88
name,cite,0.88
name,identify,0.88
name,nominate,0.88
narrow,specialize,0.88
negative,veto,0.88
nose,pry,0.88
number,numerate,0.88
off,slay,0.88
offer,tender,0.88
out,come_out_of_the_closet,0.88
pack,mob,0.88
pale,blanch,0.88
pass,communicate,0.88
pass,spend,0.88
perfect,hone,0.88
pipe,shrill,0.88
place,direct,0.88
place,identify,0.88
place,post,0.88
place,rank,0.88
place,rate,0.88
place,station,0.88
play,dally,0.88
point,direct,0.88
point,guide,0.88
point,maneuver,0.88
point,manoeuver,0.88
point,manoeuvre,0.88
point,signal,0.88
portion,allot,0.88
portion,assign,0.88
powder,powderise,0.88
powder,powderize,0.88
present,award,0.88
press,iron,0.88
press,urge,0.88
process,litigate,0.88
provision,purvey,0.88
put,cast,0.88
put,frame,0.88
quiet,quiet_down,0.88
raise,rear,0.88
raise,upgrade,0.88
rape,violate,0.88
reduce,slim,0.88
release,let_go_of,0.88
release,relinquish,0.88
request,call_for,0.88
retreat,recede,0.88
revolt,repel,0.88
right,compensate,0.88
ring,skirt,0.88
ring,surround,0.88
rise,rise_up,0.88
rock,shake,0.88
rubber,rubberise,0.88
rule,dominate,0.88
rule,predominate,0.88
rumor,bruit,0.88
run,incline,0.88
saint,enshrine,0.88
say,enounce,0.88
scratch,fray,0.88
scratch,fret,0.88
see,fancy,0.88
see,project,0.88
send,transport,0.88
set,correct,0.88
set,fix,0.88
shoot,scud,0.88
shop,sponsor,0.88
shout,holler,0.88
show,express,0.88
show,point,0.88
sick,regurgitate,0.88
sick,spew,0.88
sign,signalise,0.88
slide,slue,0.88
slow,slow_down,0.88
speed,zip,0.88
spirit,spirit_up,0.88
spring,bounce,0.88
spring,rebound,0.88
start,originate,0.88
start,pop,0.88
start,protrude,0.88
stick,hold_fast,0.88
stick,stick_to,0.88
still,calm,0.88
still,hush_up,0.88
still,quieten,0.88
strip,despoil,0.88
strip,ransack,0.88
sub,stand_in,0.88
sub,substitute,0.88
support,abide,0.88
support,endure,0.88
support,suffer,0.88
support,tolerate,0.88
sustain,keep_up,0.88
take,guide,0.88
take,train,0.88
take_arms,take_up_arms,0.88
talk,verbalise,0.88
tell,secern,0.88
tell,secernate,0.88
tell,severalise,0.88
tell,severalize,0.88
tip,fee,0.88
title,entitle,0.88
touch,concern,0.88
touch,relate,0.88
trouble,cark,0.88
trouble,perturb,0.88
trouble,trouble_oneself,0.88
true,true_up,0.88
try,sample,0.88
twist,worm,0.88
twist,wrestle,0.88
vacuum,vacuum_clean,0.88
visit,chitchat,0.88
visit,natter,0.88
wake,wake_up,0.88
wear,assume,0.88
weight,weight_down,0.88
wind,meander,0.88
wind,wander,0.88
witch,enchant,0.88
witch,glamour,0.88
witch,hex,0.88
witch,jinx,0.88
word,articulate,0.88
word,formulate,0.88
work,work_out,0.88
accompany,attach_to,0.87
adventure,hazard,0.87
adventure,jeopardize,0.87
agree,concord,0.87
air,send,0.87
air,transmit,0.87
allow,set_aside,0.87
arm,fortify,0.87
back,stake,0.87
background,play_down,0.87
balance,equilibrise,0.87
bar,debar,0.87
bash,sock,0.87
beat_about,cast_about,0.87
better,amend,0.87
black,melanise,0.87
black,melanize,0.87
bleed,shed_blood,0.87
board,get_on,0.87
boat,canoe,0.87
boat,kayak,0.87
boat,motorboat,0.87
boat,yacht,0.87
bone,grind_away,0.87
boom,nail,0.87
border,frame_in,0.87
bother,devil,0.87
bother,get_to,0.87
bother,rag,0.87
bug,tease,0.87
call,forebode,0.87
call,predict,0.87
call,squall,0.87
candy,sugarcoat,0.87
carry,channel,0.87
catch,charm,0.87
catch,enchant,0.87
catch,entrance,0.87
center,concentrate,0.87
center,focus_on,0.87
center,revolve_about,0.87
cheat,chisel,0.87
check,check_up_on,0.87
check,condition,0.87
check,gibe,0.87
check,go_over,0.87
check,jibe,0.87
check,look_into,0.87
check,suss_out,0.87
check,train,0.87
chip_away,chip_away_at,0.87
class,separate,0.87
cloud_over,cloud_up,0.87
cluster,flock,0.87
come,amount,0.87
come_forward,step_forward,0.87
company,companion,0.87
consult,confer_with,0.87
continue,bear_on,0.87
continue,carry_on,0.87
couple,copulate,0.87
couple,pair_off,0.87
cover,cut_across,0.87
cover,get_across,0.87
cover,pass_over,0.87
cover,traverse,0.87
cow,overawe,0.87
cross,baffle,0.87
cross,bilk,0.87
cut,cut_back,0.87
cut,disregard,0.87
cut,snub,0.87
cut,trim_back,0.87
dam,dam_up,0.87
damn,anathemize,0.87
damn,beshrew,0.87
dirty,begrime,0.87
dirty,colly,0.87
dismay,cast_down,0.87
dismay,get_down,0.87
do,practice,0.87
doctor,repair,0.87
dog,chase_after,0.87
dog,go_after,0.87
dog,track,0.87
down,drink_down,0.87
down,pop,0.87
down,pour_down,0.87
draw,thread,0.87
dream,woolgather,0.87
dress,tog,0.87
drive,labor,0.87
drive,labour,0.87
drive,tug,0.87
drop,cast,0.87
email,e_mail,0.87
enter,move_into,0.87
escape,break_loose,0.87
even,flush,0.87
exchange,switch_over,0.87
expand,flesh_out,0.87
expand,lucubrate,0.87
fall_open,drop_open,0.87
fat,flesh_out,0.87
fat,plump_out,0.87
feed_on,feed_upon,0.87
figure,cipher,0.87
figure,cypher,0.87
figure,work_out,0.87
filter,filter_out,0.87
fire,burn_down,0.87
fleet,dart,0.87
floor,shock,0.87
fly,take_flight,0.87
fold,turn_up,0.87
follow,abide_by,0.87
founder,fall_flat,0.87
get,bring_forth,0.87
ghost,obsess,0.87
gift,empower,0.87
give,turn_over,0.87
give_the_once_over,give_the_eye,0.87
go,choke,0.87
go,croak,0.87
go,decease,0.87
go,last,0.87
grace,decorate,0.87
grain,ingrain,0.87
grave,sculpt,0.87
guy,ridicule,0.87
ham,overplay,0.87
have,give_birth,0.87
have_the_best,get_the_best,0.87
hold,concord,0.87
hold,concur,0.87
hold,harbour,0.87
hold,nurse,0.87
hook,cop,0.87
hurt,smart,0.87
hurt,spite,0.87
husband,economise,0.87
husband,economize,0.87
imagine,conceive_of,0.87
impact,bear_upon,0.87
influence,mold,0.87
install,put_in,0.87
inter,bury,0.87
inter,inhume,0.87
intimate,adumbrate,0.87
jail,jug,0.87
keep,celebrate,0.87
kick,kvetch,0.87
kid,banter,0.87
knock,pick_apart,0.87
know,bang,0.87
know,make_love,0.87
know,sleep_together,0.87
land,set_down,0.87
laugh,express_mirth,0.87
lobby,buttonhole,0.87
locate,turn_up,0.87
lot,dispense,0.87
lot,mete_out,0.87
lot,shell_out,0.87
lower,bring_down,0.87
lower,get_down,0.87
lower,take_down,0.87
make,bring_in,0.87
make,crap,0.87
make,pee,0.87
make,puddle,0.87
make,relieve_oneself,0.87
make,take_a_shit,0.87
make,wee_wee,0.87
manage,bring_off,0.87
manage,carry_off,0.87
march,abut,0.87
march,border,0.87
mark_out,mark_off,0.87
match,play_off,0.87
mount,climb_up,0.87
mount,go_up,0.87
mouse,sneak,0.87
mud,muck_up,0.87
name,appoint,0.87
name,discover,0.87
name,key,0.87
narrow,specialise,0.87
near,come_near,0.87
negative,blackball,0.87
nose,horn_in,0.87
nose,intrude,0.87
overcome,sweep_over,0.87
pack,throng,0.87
pad,aggrandise,0.87
pad,aggrandize,0.87
pad,embroider,0.87
pass,pass_along,0.87
pine,ache,0.87
