# syn_n_soft_axioms.txt — Tier B soft biconditional axiom candidates
# Generated by pick_canonicals_n.py --emit
# Sources: UNSAFE cluster (canonical,member) pairs from syn_n_10.txt
#          + syn_n_soft_pairs.txt (harvested sub-canonical pairs)
# Format: word_a,word_b,score
#
company,firm,0.94
cost,price,0.94
death,demise,0.94
death,dying,0.94
development,growth,0.94
door,doorway,0.94
dress,clothes,0.94
drive_line,drive_line_system,0.94
drunk,drunkard,0.94
evil,wickedness,0.94
federal_security_service,federal_security_bureau,0.94
figure,number,0.94
final_exam,final_examination,0.94
flight,flying,0.94
goal,objective,0.94
hard_disc,hard_disk,0.94
hi,hullo,0.94
house_of_commons,british_house_of_commons,0.94
impact,effect,0.94
industrial_union,vertical_union,0.94
international_labor_organization,international_labour_organization,0.94
jail,jailhouse,0.94
magic,thaumaturgy,0.94
material,substance,0.94
matter,issue,0.94
meaning,signification,0.94
military_intelligence,military_intelligence_agency,0.94
military_music,military_march,0.94
morning,forenoon,0.94
motion_study,time_and_motion_study,0.94
murder,slaying,0.94
necessary,requisite,0.94
new_zealand,new_zealand_islands,0.94
oxford_grey,oxford_gray,0.94
pain_in_the_ass,pain_in_the_neck,0.94
physics_lab,physics_laboratory,0.94
police,law_enforcement,0.94
problem,trouble,0.94
profit_and_loss,profit_and_loss_account,0.94
robert_robinson,sir_robert_robinson,0.94
sleep,slumber,0.94
solar_power,solar_energy,0.94
south_american_country,south_american_nation,0.94
stadium,arena,0.94
teaching,pedagogy,0.94
team,squad,0.94
tennis_shot,tennis_stroke,0.94
theatre_of_operations,theater_of_operations,0.94
thought,thinking,0.94
try,attempt,0.94
united_mine_workers,united_mine_workers_of_america,0.94
us_fish_and_wildlife_service,united_states_fish_and_wildlife_service,0.94
us_marine_corps,united_states_marine_corps,0.94
vote,ballot,0.94
walter_scott,sir_walter_scott,0.94
want,wish,0.94
web_map_service,web_map_server,0.94
winner,victor,0.94
writing,penning,0.94
african_grey,african_gray,0.93
airport,aerodrome,0.93
amount,sum,0.93
andrew_johnson,president_andrew_johnson,0.93
argument,debate,0.93
auto_maker,auto_manufacturer,0.93
battle,struggle,0.93
black,blackness,0.93
blood_relative,blood_relation,0.93
blue,blueness,0.93
calling_card,visiting_card,0.93
center_of_attention,centre_of_attention,0.93
chicken,poulet,0.93
chief,honcho,0.93
choice,selection,0.93
color,coloring,0.93
coming,approaching,0.93
crazy,loony,0.93
crazy,nutcase,0.93
crazy,weirdo,0.93
customer,client,0.93
de_forest,lee_de_forest,0.93
development,maturation,0.93
diamond_wedding,diamond_wedding_anniversary,0.93
drunk,inebriate,0.93
drunk,wino,0.93
eating,feeding,0.93
entry_word,main_entry_word,0.93
estate_agent,real_estate_agent,0.93
evening_shift,swing_shift,0.93
evil,immorality,0.93
fight,combat,0.93
floor,flooring,0.93
football,soccer,0.93
fourth,quarter,0.93
francis_joseph,francis_joseph_i,0.93
gay,homo,0.93
gay,homophile,0.93
general_damages,actual_damages,0.93
george_bush,george_walker_bush,0.93
germany,deutschland,0.93
green,greenness,0.93
health_and_human_services,department_of_health_and_human_services,0.93
hearing,listening,0.93
high_technology,high_tech,0.93
housing_and_urban_development,department_of_housing_and_urban_development,0.93
information,data,0.93
israel,yisrael,0.93
israel,zion,0.93
labour_party,british_labour_party,0.93
line_of_credit,personal_line_of_credit,0.93
minute,moment,0.93
mistake,error,0.93
necessary,necessity,0.93
north_american_country,north_american_nation,0.93
one,single,0.93
paper,newspaper,0.93
park,parkland,0.93
path,route,0.93
plenty,plentitude,0.93
post_office,local_post_office,0.93
post_office,us_post_office,0.93
president,chairperson,0.93
president,chairwoman,0.93
primary_color_for_light,primary_colour_for_light,0.93
professional,pro,0.93
progress,progression,0.93
rapid_eye_movement,rapid_eye_movement_sleep,0.93
real_tennis,royal_tennis,0.93
responsibility,obligation,0.93
retirement_savings_plan,retirement_savings_account,0.93
road,route,0.93
self,ego,0.93
speaker_system,speaker_unit,0.93
st_joseph,saint_joseph,0.93
state,nation,0.93
stop,halt,0.93
sweet_corn,sweet_corn_plant,0.93
teaching,instruction,0.93
telling,recounting,0.93
theatre,theater,0.93
troops,soldiery,0.93
us_attorney_general,united_states_attorney_general,0.93
variety,smorgasbord,0.93
wave_theory,wave_theory_of_light,0.93
wonder,wonderment,0.93
wood,woods,0.93
world,mankind,0.93
airport,airdrome,0.92
anthony_wayne,mad_anthony_wayne,0.92
area,zone,0.92
asking,request,0.92
attack,onslaught,0.92
authority,authorization,0.92
award,honor,0.92
award,honour,0.92
bad,badness,0.92
behavior,conduct,0.92
break_of_day,break_of_the_day,0.92
brother,sibling,0.92
brown,brownness,0.92
business_data_processing,administrative_data_processing,0.92
buy,bargain,0.92
buy,steal,0.92
call,shout,0.92
camp,bivouac,0.92
cancer,leukemia,0.92
cat,feline,0.92
chicken,volaille,0.92
child_welfare_service,child_welfare_agency,0.92
choice,alternative,0.92
choice,pick,0.92
colour_television,colour_television_system,0.92
community,society,0.92
company,corporation,0.92
conditions,weather,0.92
conservation_of_mass,law_of_conservation_of_mass,0.92
core,center,0.92
crazy,looney,0.92
defense_mechanism,defence_mechanism,0.92
deposit_account,time_deposit_account,0.92
disability_check,disability_payment,0.92
doubt,doubtfulness,0.92
doubt,dubiety,0.92
doubt,dubiousness,0.92
drawing_lots,casting_lots,0.92
drug_enforcement_administration,drug_enforcement_agency,0.92
example,illustration,0.92
feature,characteristic,0.92
field_of_operations,theater_of_operations,0.92
figure_eight,figure_of_eight,0.92
file_name,computer_file_name,0.92
fire_alarm,smoke_alarm,0.92
form,shape,0.92
fun,merriment,0.92
funds,finances,0.92
funeral_home,funeral_church,0.92
genetic_disease,genetic_disorder,0.92
getting,acquiring,0.92
goal,target,0.92
grandmother,grandma,0.92
grass_tree,australian_grass_tree,0.92
great_wall,great_wall_of_china,0.92
great_white_shark,white_shark,0.92
grey_sole,gray_sole,0.92
ground,footing,0.92
henry_morgan,sir_henry_morgan,0.92
hi,howdy,0.92
history,past,0.92
hold,grip,0.92
holding,keeping,0.92
home,family,0.92
identity,individuality,0.92
intelligence_community,united_states_intelligence_community,0.92
james_murray,sir_james_murray,0.92
jesus,savior,0.92
lying,prevarication,0.92
making,devising,0.92
making,fashioning,0.92
manager,coach,0.92
meaning,significance,0.92
media,press,0.92
mistake,fault,0.92
mix,premix,0.92
national_library_of_medicine,united_states_national_library_of_medicine,0.92
necessary,requirement,0.92
office,bureau,0.92
oral_stage,oral_phase,0.92
part,role,0.92
pay,salary,0.92
pay,wage,0.92
playing,performing,0.92
project,undertaking,0.92
region,zone,0.92
rose,rosebush,0.92
running_start,flying_start,0.92
saint_francis,saint_francis_river,0.92
sales_department,sales_division,0.92
seeing,beholding,0.92
shit,diddly,0.92
silver_star,silver_star_medal,0.92
skin,cutis,0.92
small_capital,small_cap,0.92
smart,smartness,0.92
soldier,infantryman,0.92
song,vocal,0.92
space,area,0.92
spending,outlay,0.92
spring_roll,egg_roll,0.92
state,commonwealth,0.92
state,country,0.92
statement,argument,0.92
story,chronicle,0.92
system,network,0.92
thing,matter,0.92
training,preparation,0.92
truck,motortruck,0.92
turn,bend,0.92
type,class,0.92
voice,speech,0.92
vote,balloting,0.92
want,wishing,0.92
way,means,0.92
way,path,0.92
wild_cherry,wild_cherry_tree,0.92
winter_olympics,winter_olympic_games,0.92
woman_of_the_house,lady_of_the_house,0.92
wood,forest,0.92
world,humanity,0.92
world,humankind,0.92
access,admittance,0.91
act,enactment,0.91
american_war_of_independence,war_of_american_independence,0.91
apparent_movement,apparent_motion,0.91
attorney_general,us_attorney_general,0.91
authority,authorisation,0.91
bed_cover,bed_covering,0.91
beer,ale,0.91
black_cherry,black_cherry_tree,0.91
board_meeting,committee_meeting,0.91
boot_sale,car_boot_sale,0.91
brand,marque,0.91
breathing_space,breathing_spell,0.91
brown_sauce,chinese_brown_sauce,0.91
call,yell,0.91
central_africa,central_african_republic,0.91
chief,boss,0.91
code,codification,0.91
collection,assemblage,0.91
color,colouring,0.91
color_line,colour_line,0.91
color_scheme,colour_scheme,0.91
colors,colours,0.91
conservation_of_energy,law_of_conservation_of_energy,0.91
council_board,council_table,0.91
couple,twosome,0.91
data_communication,digital_communication,0.91
david_low,sir_david_low,0.91
defense_policy,defence_policy,0.91
demand,requirement,0.91
department_of_defense,united_states_department_of_defense,0.91
department_of_state,united_states_department_of_state,0.91
development,ontogenesis,0.91
development,ontogeny,0.91
divine_right,divine_right_of_kings,0.91
doubt,incertitude,0.91
doubt,uncertainty,0.91
dress,apparel,0.91
dress,gown,0.91
drive,ride,0.91
eggs,egg,0.91
emily_post,emily_price_post,0.91
english_system,british_system,0.91
evil,iniquity,0.91
flat,apartment,0.91
florida,fl,0.91
food_and_agriculture_organization,food_and_agriculture_organization_of_the_united_nations,0.91
fun,playfulness,0.91
future,futurity,0.91
gift,endowment,0.91
giving,gift,0.91
going,leaving,0.91
grey_wolf,gray_wolf,0.91
gun,firearm,0.91
helping,serving,0.91
hold,clench,0.91
hold,grasp,0.91
hold,handle,0.91
home,household,0.91
horse,equine,0.91
human,homo,0.91
ill,ailment,0.91
input_device,data_input_device,0.91
inside,interior,0.91
italian,sicilian,0.91
jersey,nj,0.91
jesus,saviour,0.91
john_major,john_roy_major,0.91
justice,judge,0.91
justice,justness,0.91
labor_of_love,labour_of_love,0.91
land,earth,0.91
land,ground,0.91
land,kingdom,0.91
law_officer,peace_officer,0.91
learning_disorder,learning_disability,0.91
little_missouri,little_missouri_river,0.91
lord,almighty,0.91
lot,slew,0.91
love,beloved,0.91
love,dear,0.91
marine_corps,united_states_marine_corps,0.91
mary,madonna,0.91
master_in_business,master_in_business_administration,0.91
minute,instant,0.91
mistake,blunder,0.91
move,movement,0.91
murder,execution,0.91
murder,homicide,0.91
national_intelligence_community,united_states_intelligence_community,0.91
native,aboriginal,0.91
native,aborigine,0.91
native,indigen,0.91
net,profit,0.91
novel,novella,0.91
oil,petroleum,0.91
outside,exterior,0.91
pack_of_cards,deck_of_cards,0.91
pay,remuneration,0.91
place,position,0.91
player,participant,0.91
playing,acting,0.91
plenty,plenitude,0.91
post_office,united_states_post_office,0.91
price_cut,price_cutting,0.91
progress,advance,0.91
project,task,0.91
range,scope,0.91
resident,occupant,0.91
resident,occupier,0.91
review,reassessment,0.91
rifle_shot,rifle_range,0.91
rise,raise,0.91
rock,stone,0.91
sales_representative,sales_rep,0.91
sami,saame,0.91
second,minute,0.91
selling,marketing,0.91
selling,merchandising,0.91
shit,darn,0.91
shit,diddlysquat,0.91
shit,hoot,0.91
show,display,0.91
showing,viewing,0.91
sir_henry_wood,sir_henry_joseph_wood,0.91
skin,tegument,0.91
social,sociable,0.91
software,package,0.91
spider_plant,spider_flower,0.91
support,backing,0.91
support,funding,0.91
supreme_court,state_supreme_court,0.91
theatre_ticket,theater_ticket,0.91
training,grooming,0.91
try,effort,0.91
try,endeavour,0.91
union,marriage,0.91
us_air_force_academy,united_states_air_force_academy,0.91
video,television,0.91
way,direction,0.91
western_empire,western_roman_empire,0.91
white_trash,poor_white_trash,0.91
writing,authorship,0.91
administrative_district,administrative_division,0.90
american_revolution,american_revolutionary_war,0.90
area,territory,0.90
arm,weapon,0.90
artist,painter,0.90
authority,assurance,0.90
authority,confidence,0.90
authority,dominance,0.90
authorized_stock,authorized_shares,0.90
award,laurels,0.90
bag,tote,0.90
beer,brew,0.90
behavior,doings,0.90
black_pine,japanese_black_pine,0.90
blood_disease,blood_disorder,0.90
boat,motorboat,0.90
boat,powerboat,0.90
break,breakage,0.90
brother,male_sibling,0.90
business,job,0.90
business_enterprise,commercial_enterprise,0.90
call,cry,0.90
camp,cantonment,0.90
cancer,leukaemia,0.90
cancer,lymphoma,0.90
captain_cook,captain_james_cook,0.90
center_of_mass,centre_of_mass,0.90
century,hundred_years,0.90
charity_shot,charity_throw,0.90
chemistry_lab,chemistry_laboratory,0.90
chest_voice,chest_tone,0.90
chief,foreman,0.90
coach,bus,0.90
coach,motorcoach,0.90
collection,accumulation,0.90
collection,aggregation,0.90
college,institute,0.90
color_television_tube,colour_television_tube,0.90
company,business,0.90
conservative,ultraconservative,0.90
cotton_rush,cotton_grass,0.90
deal,trade,0.90
deposit_box,safety_deposit_box,0.90
door,entry,0.90
drunk,sot,0.90
due_process,due_process_of_law,0.90
end,goal,0.90
ending,termination,0.90
face_recognition,automatic_face_recognition,0.90
fair,carnival,0.90
fair,funfair,0.90
feed,provender,0.90
field_test,field_trial,0.90
figure,digit,0.90
finance,financing,0.90
finding,determination,0.90
flower,orchid,0.90
flower,peony,0.90
foot,pes,0.90
football,football_game,0.90
football,rugby,0.90
force,strength,0.90
form,conformation,0.90
four,quartet,0.90
fourth,quartern,0.90
gas_constant,universal_gas_constant,0.90
go,turn,0.90
goal,aim,0.90
going,going_away,0.90
guess,speculation,0.90
guidance_system,guidance_device,0.90
hair,hairstyle,0.90
happening,occurrence,0.90
head,brain,0.90
head,chief,0.90
head,mind,0.90
health_care_provider,primary_care_provider,0.90
heart,center,0.90
help,helper,0.90
hero,hoagie,0.90
history,chronicle,0.90
holding_yard,holding_pen,0.90
horse,mare,0.90
horse,pony,0.90
horse,racehorse,0.90
indian,american_indian,0.90
industry,business_sector,0.90
issue,upshot,0.90
italian,sardinian,0.90
jail,clink,0.90
jail,pokey,0.90
japanese,asian,0.90
joint,articulatio,0.90
justice,jurist,0.90
king_james_version,king_james_bible,0.90
lab,laboratory,0.90
labor,proletariat,0.90
law,police,0.90
leading,leadership,0.90
limit,boundary,0.90
lord,divine,0.90
love,dearest,0.90
main_office,central_office,0.90
manager,handler,0.90
mark,score,0.90
material,matter,0.90
matter,topic,0.90
media,news_media,0.90
mental_representation,internal_representation,0.90
mountain,mount,0.90
move,motion,0.90
muslim,sunni,0.90
native,indigene,0.90
nature,environment,0.90
net,earnings,0.90
net,profits,0.90
new_scotland_yard,scotland_yard,0.90
news_conference,press_conference,0.90
nobody,nonentity,0.90
nothing,nil,0.90
office,agency,0.90
official,functionary,0.90
ok,okeh,0.90
organization,agency,0.90
paper_round,paper_route,0.90
part,region,0.90
pay,earnings,0.90
pension_account,pension_plan,0.90
philip_ii,philip_ii_of_spain,0.90
piece_of_paper,sheet_of_paper,0.90
pilot_program,pilot_project,0.90
player,actor,0.90
playing,playacting,0.90
plenty,plenteousness,0.90
plenty,plentifulness,0.90
police,constabulary,0.90
position,perspective,0.90
position,status,0.90
position,view,0.90
president,chair,0.90
publishing_house,publishing_firm,0.90
purchase,purchasing,0.90
red,redness,0.90
red_giant,red_giant_star,0.90
region,territory,0.90
regular,fixture,0.90
relationship,human_relationship,0.90
review,reappraisal,0.90
riot_control,riot_control_operation,0.90
road,highway,0.90
roman_catholic,roman_catholic_church,0.90
rose_wine,pink_wine,0.90
run,test,0.90
saint_john,saint_john_river,0.90
scene,setting,0.90
service,assistance,0.90
shit,diddley,0.90
shit,jack,0.90
shit,shucks,0.90
shit,squat,0.90
shoulder_bone,shoulder_blade,0.90
skill,accomplishment,0.90
sleep,sleeping,0.90
society,civilization,0.90
software,computer_software,0.90
soldier,cavalryman,0.90
soldier,militiaman,0.90
soldier,paratrooper,0.90
standard_of_life,standard_of_living,0.90
status,condition,0.90
steel_grey,steel_gray,0.90
story,history,0.90
summer,warm_season,0.90
sweet_orange,sweet_orange_tree,0.90
take,return,0.90
technical_analysis,technical_analysis_of_stock_trends,0.90
television,television_set,0.90
tennessee_walking_horse,tennessee_walker,0.90
test,trial,0.90
test,tryout,0.90
thought,opinion,0.90
treat,goody,0.90
treat,kickshaw,0.90
tree,sapling,0.90
try,endeavor,0.90
union,matrimony,0.90
upset,disturbance,0.90
us_border_patrol,united_states_border_patrol,0.90
us_trade_representative,united_states_trade_representative,0.90
value,importance,0.90
variety,mixture,0.90
variety,motley,0.90
variety,potpourri,0.90
video,tv,0.90
voice,vocalization,0.90
walk,pass,0.90
want,need,0.90
waste,waste_product,0.90
water_glass,water_gauge,0.90
wonder,admiration,0.90
wood,hardwood,0.90
world,humans,0.90
world,populace,0.90
writing,composition,0.90
youth,kid,0.90
access,admission,0.89
address,speech,0.89
american,californian,0.89
artist,printmaker,0.89
artist,sculptor,0.89
attack,onrush,0.89
attack,onset,0.89
author,coauthor,0.89
author,novelist,0.89
authority,sureness,0.89
bag,backpack,0.89
bag,pouch,0.89
being,beingness,0.89
being,existence,0.89
bet,stakes,0.89
bird,raptor,0.89
black,inkiness,0.89
blame,incrimination,0.89
boat,barge,0.89
boat,ferry,0.89
bomb,firebomb,0.89
break,interruption,0.89
breathing_time,breathing_spell,0.89
build,body_build,0.89
burn,burning,0.89
calendar_method,calendar_method_of_birth_control,0.89
cancer,malignant_neoplastic_disease,0.89
chief,gaffer,0.89
christian,catholic,0.89
climb,climbing,0.89
close_corporation,closed_corporation,0.89
coach,charabanc,0.89
coast_range,coast_mountains,0.89
cold_spell,cold_snap,0.89
color_television_system,colour_television_system,0.89
common,commons,0.89
common_measure,common_meter,0.89
conference,symposium,0.89
congress,us_congress,0.89
conservative,conservativist,0.89
couple,duo,0.89
course,path,0.89
court_tennis,royal_tennis,0.89
credit,recognition,0.89
defense_system,defence_system,0.89
design,purpose,0.89
development,growing,0.89
dick,gumshoe,0.89
disease,illness,0.89
drinking,imbibition,0.89
drop,bead,0.89
drunk,rummy,0.89
dry_plate,dry_plate_process,0.89
election,reelection,0.89
end,terminal,0.89
energy,energy_department,0.89
european,german,0.89
european,scandinavian,0.89
example,representative,0.89
family,class,0.89
favor,favour,0.89
fellow,boyfriend,0.89
fixed_charge,fixed_costs,0.89
flower,dahlia,0.89
flying_field,landing_field,0.89
following,followers,0.89
form,configuration,0.89
form,contour,0.89
form,descriptor,0.89
form,signifier,0.89
funny,funny_remark,0.89
german,bavarian,0.89
given,precondition,0.89
given,presumption,0.89
grey_substance,gray_substance,0.89
ground,basis,0.89
guide,usher,0.89
hair,hairdo,0.89
hair,mane,0.89
head,psyche,0.89
heart,centre,0.89
heart,eye,0.89
heart,middle,0.89
hero,hero_sandwich,0.89
hero,submarine,0.89
hold,clasp,0.89
hold,clutches,0.89
home_equity_credit,home_equity_loan,0.89
home_office,main_office,0.89
immune_response,immune_reaction,0.89
ireland,republic_of_ireland,0.89
issue,consequence,0.89
issue,effect,0.89
issue,event,0.89
issue,outcome,0.89
joint,articulation,0.89
keep,support,0.89
labor_camp,labour_camp,0.89
land,realm,0.89
limit,bound,0.89
lot,fortune,0.89
lot,luck,0.89
lot,portion,0.89
man,guy,0.89
marine_animal,marine_creature,0.89
mark,target,0.89
mayor,city_manager,0.89
meat,pork,0.89
mental_home,mental_hospital,0.89
method,technique,0.89
michael_jackson,michael_joe_jackson,0.89
mistake,miscalculation,0.89
morning,morning_time,0.89
muslim,wahabi,0.89
mutual_fund,mutual_fund_company,0.89
national_assistance,social_assistance,0.89
normal,pattern,0.89
office,authority,0.89
official_document,legal_document,0.89
opinion_poll,public_opinion_poll,0.89
paper_plant,paper_rush,0.89
part,function,0.89
perfect,perfect_tense,0.89
peter,simon_peter,0.89
play,drama,0.89
point_of_entry,port_of_entry,0.89
poor,poor_people,0.89
president_of_the_united_states,united_states_president,0.89
pressure,pressure_level,0.89
psychological_state,psychological_condition,0.89
push,shove,0.89
range,reach,0.89
rating_system,scoring_system,0.89
recent,recent_epoch,0.89
red,crimson,0.89
regular,habitue,0.89
reserve_bank,federal_reserve_bank,0.89
retirement_account,retirement_savings_account,0.89
retirement_community,retirement_complex,0.89
rise,hike,0.89
round,beat,0.89
run,campaign,0.89
run,trial,0.89
saying,locution,0.89
second,instant,0.89
second,moment,0.89
second_coming,second_coming_of_christ,0.89
security_system,security_measure,0.89
senate_race,senate_campaign,0.89
service_ceiling,combat_ceiling,0.89
service_routine,utility_routine,0.89
ship,warship,0.89
shit,diddlyshit,0.89
sign,signal,0.89
simple_absence,pure_absence,0.89
skill,acquirement,0.89
skill,acquisition,0.89
skill,attainment,0.89
sleep,shuteye,0.89
software,software_package,0.89
software,software_system,0.89
solar_panel,solar_battery,0.89
soldier,guardsman,0.89
song,anthem,0.89
song,ballad,0.89
stadium,bowl,0.89
stadium,sports_stadium,0.89
standard_operating_procedure,standing_operating_procedure,0.89
state,land,0.89
step,measure,0.89
storm,thunderstorm,0.89
straight,heterosexual,0.89
stress,emphasis,0.89
supply_line,supply_route,0.89
supreme_court,united_states_supreme_court,0.89
swimming,swim,0.89
swimming_meet,swim_meet,0.89
temple_orange,temple_orange_tree,0.89
theatre_of_war,theater_of_war,0.89
thomas_jackson,thomas_jonathan_jackson,0.89
thomas_more,sir_thomas_more,0.89
thought,sentiment,0.89
thus,olibanum,0.89
time_value,note_value,0.89
trailer_park,trailer_camp,0.89
treasury_stock,treasury_shares,0.89
treat,delicacy,0.89
union,wedlock,0.89
us_coast_guard,united_states_coast_guard,0.89
us_military_academy,united_states_military_academy,0.89
us_post_office,united_states_post_office,0.89
using,victimisation,0.89
variety,miscellanea,0.89
variety,miscellany,0.89
variety,salmagundi,0.89
video,telecasting,0.89
wash,washing,0.89
waste,waste_material,0.89
waste,waste_matter,0.89
watch,ticker,0.89
white_hope,great_white_hope,0.89
willing,volition,0.89
wood,birch,0.89
wood,oak,0.89
wood,poplar,0.89
world,man,0.89
world,public,0.89
wow,scream,0.89
yellow_delicious,golden_delicious,0.89
access,entree,0.88
add,adhd,0.88
admission_price,admission_charge,0.88
agriculture,farming,0.88
airport,drome,0.88
apartment_house,apartment_building,0.88
application_program,applications_programme,0.88
area,district,0.88
artist,illustrator,0.88
attack,approach,0.88
attack,plan_of_attack,0.88
attorney_general,united_states_attorney_general,0.88
author,authoress,0.88
authority,potency,0.88
authority,self_assurance,0.88
beauty,loveliness,0.88
black_bear,american_black_bear,0.88
blame,inculpation,0.88
blue,cerulean,0.88
blue_shark,great_blue_shark,0.88
boat,ferryboat,0.88
boat,tugboat,0.88
bomb,grenade,0.88
bow_legs,bow_leg,0.88
british_capacity_unit,imperial_capacity_unit,0.88
build,physique,0.88
building_supply_house,building_supply_store,0.88
business,line,0.88
business,occupation,0.88
call,outcry,0.88
call,vociferation,0.88
cancer,carcinoma,0.88
cancer,sarcoma,0.88
cash,hard_cash,0.88
cast,cast_of_characters,0.88
charge,price,0.88
chief_executive_officer,chief_operating_officer,0.88
chinese,cantonese,0.88
civil_rights_leader,civil_rights_worker,0.88
clark_cell,clark_standard_cell,0.88
clean,clean_and_jerk,0.88
cleaning_woman,cleaning_lady,0.88
cloud_chamber,wilson_cloud_chamber,0.88
coach,autobus,0.88
coach,jitney,0.88
coach,motorbus,0.88
coast,sea_coast,0.88
common_bird_cherry,european_bird_cherry,0.88
company,enterprise,0.88
computer_operation,machine_operation,0.88
conditions,atmospheric_condition,0.88
conditions,weather_condition,0.88
conference,seminar,0.88
conference_house,conference_center,0.88
congress,united_states_congress,0.88
conservation_of_matter,law_of_conservation_of_mass,0.88
conservative,traditionalist,0.88
constitution_of_the_united_states,united_states_constitution,0.88
course,track,0.88
current_assets,liquid_assets,0.88
